Edad,Year,Source,Pob.,Sex,Count,Total Days,Discharge Rate
[00-04],2017,Interpolation,8773380.829,Total,260639,1790264,0.029707932
[05-09],2017,Interpolation,10291970.44,Total,72335,251437,0.007028295
[10-14],2017,Interpolation,10902726.14,Total,73746,267101,0.006763996
[15-19],2017,Interpolation,10671761.59,Total,362164,806665,0.033936665
[20-24],2017,Interpolation,9904493.92,Total,439597,993105,0.04438359
[25-29],2017,Interpolation,9275304.564,Total,340359,822371,0.036695183
[30-34],2017,Interpolation,8841181.812,Total,232443,650389,0.026290942
[35-39],2017,Interpolation,8468226.386,Total,164476,550914,0.019422721
[40-44],2017,Interpolation,8331200.516,Total,126267,475984,0.015155919
[45-49],2017,Interpolation,7941606.108,Total,107502,491133,0.013536557
[50-54],2017,Interpolation,7136880.906,Total,103815,470873,0.01454627
[55-59],2017,Interpolation,6212489.6,Total,96136,444432,0.015474634
[60-64],2017,Interpolation,5083286.1,Total,88004,409798,0.017312423
[65-69],2017,Interpolation,3847963.401,Total,74414,349523,0.019338542
[70-74],2017,Interpolation,2839782.826,Total,59132,323449,0.020822719
[75-79],2017,Interpolation,1914823.564,Total,47851,276545,0.02498977
[80-84],2017,Interpolation,1229234.115,Total,34285,195558,0.027891351
[85+],2017,Interpolation,1053057.739,Total,34120,191856,0.032400882
N.A.,2017,Interpolation,101163.4427,Total,12056,40084,0.119173485
[00-04],2018,INEGI,9254611,Total,242920,1758596,0.026248537
[05-09],2018,INEGI,10846326,Total,71023,265733,0.006548116
[10-14],2018,INEGI,11465625,Total,70966,276433,0.006189458
[15-19],2018,INEGI,11323689,Total,337790,792893,0.029830385
[20-24],2018,INEGI,10059076,Total,413203,943156,0.04107763
[25-29],2018,INEGI,9362739,Total,332204,818231,0.035481497
[30-34],2018,INEGI,8686558,Total,227068,644027,0.026140158
[35-39],2018,INEGI,8553864,Total,163109,581196,0.019068458
[40-44],2018,INEGI,8617070,Total,124151,519779,0.014407565
[45-49],2018,INEGI,8091080,Total,107822,504642,0.013326033
[50-54],2018,INEGI,6920790,Total,103048,549663,0.01488963
[55-59],2018,INEGI,6383891,Total,97358,470654,0.015250574
[60-64],2018,INEGI,4878405,Total,87339,472274,0.017903188
[65-69],2018,INEGI,3652121,Total,74419,384747,0.020376926
[70-74],2018,INEGI,2756958,Total,58573,353046,0.021245518
